filename,canonical_url,resolved_url,last_modified,category,coverage_questions,content_sha256,characters,status,error
about-profile.md,https://www.ebram.org/overview.html,https://www.ebram.org/overview.html,2025-03-06,about,Q01,fa0d28186907b9471f738ef2ad3f77315762eb8d80144cd759bedbe79af824a1,4945,ready,
about-services.md,https://www.ebram.org/aim_and_services.html,https://www.ebram.org/aim_and_services.html,2025-03-06,about,Q01,cebe93394292d3735635efac5b2e292099b0848bb9f125e9218fbfb77f0f16da,1200,ready,
online-arbitration.md,https://www.ebram.org/online_arbitration.html,https://www.ebram.org/online_arbitration.html,2025-03-06,dispute_resolution,Q01;Q02;Q06;Q09,5f3f3ebe1f03394abaf5ec37dca139365c37ec3187d9f4fd2ba75bc7f50a5c8b,2392,ready,
online-mediation.md,https://www.ebram.org/online_mediation.html,https://www.ebram.org/online_mediation.html,2025-03-06,dispute_resolution,Q01;Q02;Q06;Q09,1b1db4c1cd9e5b81924d6d171de2fcd17dbf38dea7afa5a71badf79706e02ed7,3434,ready,
water-seepage-mediation.md,https://www.ebram.org/Water_Seepage_POM_Scheme.html,https://www.ebram.org/Water_Seepage_POM_Scheme/,2025-03-06,dispute_resolution,Q01,b7b9bbd1c02c03f14ebad8c11969732a9ee0e9c857680e57226951af0bc9fb83,9664,ready,
apec-odr.md,https://www.ebram.org/apec_odr.html,https://www.ebram.org/apec_odr.html,2025-03-06,dispute_resolution,Q01;Q02;Q06;Q09,f40bb459ad093e3ca5e80e6083961b743f269c3e7ed342f8a081a5a2a927e832,6717,ready,
odr-services-platforms-guide.md,https://www.ebram.org/odr/e_flyer/Online_Dispute_Resolution_ODR_Services_and_Platforms_Guide/,https://www.ebram.org/odr/e_flyer/Online_Dispute_Resolution_ODR_Services_and_Platforms_Guide/en.pdf,2025-03-06,guide,Q02;Q03;Q06,71cd2ef438faae492a2149c6c6491b4c7867c748d3ac472a3e9d754412e65153,3608,ready,
rules-procedures-guide.md,https://www.ebram.org/odr/e_flyer/Rules_and_Procedures_Guide/,https://www.ebram.org/odr/e_flyer/Rules_and_Procedures_Guide/en.pdf,2025-03-06,guide,Q02;Q06,b1e54eda07b92c8d7c4b3bf8eb4b7b13bdcfaaf39b4210cbbd82c6b054ad544c,4155,ready,
arbitration-rules.md,https://www.ebram.org/arbitration_rules,https://www.ebram.org/arbitration_rules/eBRAM_Arbitration_Rules.pdf?v1.3,2025-03-06,rules,Q02;Q06;Q09,92b1eb9ca7bc17bb880e82bd9f74b203b89033873169d992310ab62b95a839fe,57413,ready,
mediation-rules.md,https://www.ebram.org/mediation_rules,https://www.ebram.org/mediation_rules/eBRAM_Mediation_Rules.pdf?v1.1,2025-03-06,rules,Q02;Q06;Q09,ada516b60ec1fe6efd74e410fe8b7e3ef3c663f64e9a7049b09eed8b179821c4,20173,ready,
apec-rules.md,https://www.ebram.org/apec_rules,https://www.ebram.org/apec_rules/eBRAM_APEC_RULES_en.pdf?20251031,2025-03-06,rules,Q06;Q09,427bba109b78c820201967907b40318f358545340a6cc4bf3bb16cb339cec8ae,48068,ready,
panel-application.md,https://www.ebram.org/panel_application.html,https://www.ebram.org/panel_application/,2025-03-06,panels_training,Q04,e4f4045559ff4d00fe3ad7cfa99ba21526bfa8a60c0d7ad5693cd12d4e6e312f,2016,ready,
codes-and-guidelines.md,https://www.ebram.org/codes_and_guidelines.html,https://www.ebram.org/codes_and_guidelines.html,2025-03-06,panels_training,Q04,c952f2038163321ad6c67de736f9a405bc01347c07819fe0c808abe34ff30ed4,670,ready,
mediator-training.md,https://www.ebram.org/mediator/training/,https://www.ebram.org/mediator/training/,2025-03-06,panels_training,Q04,8a5c9cb906cafffee07cb475b513ac7edf751dc83e66f637e7db2b7279dbb4b0,5813,ready,
model-clauses.md,https://www.ebram.org/model_clauses,https://www.ebram.org/model_clauses/,2025-03-06,model_clauses,Q07;Q09,df630f65a9381782a9710d90b44161a5b442a7c63c34671d1505807581eba8a0,2414,ready,
deal-making-overview.md,https://www.ebram.org/deal_making/e_flyer/,https://www.ebram.org/deal_making/e_flyer/en.pdf?v=1784742504,2025-03-06,deal_making,Q07,ee1c49bd7dfddac34301a122b3facecc82ec6853c62f63ef69abddc229d75ece,1423,ready,
deal-making-quick-guide.md,https://www.ebram.org/deal_making/quick_guide/,https://www.ebram.org/deal_making/quick_guide/Deal-making%20Portal%20-%20User%20Quick%20Guide_December%202023.pdf,2025-03-06,deal_making,Q07,af248e6cb0978789846574886d024cf158b27ab57d4e9e2a0f55c41b529703dd,7308,ready,
deal-making-user-guide.md,https://www.ebram.org/deal_making/user_guide/,https://www.ebram.org/deal_making/user_guide/Deal-making%20Portal%20-%20User%20Guide_December%202023.pdf,2025-03-06,deal_making,Q07,f74fa88107bc9e26e7bf7d233f701c1efe24f2ffb959639e54b82ba32fd896c5,15059,ready,
hearing-support.md,https://www.ebram.org/hearing_support,https://www.ebram.org/hearing_support/,2025-03-06,service,Q01;Q09,b83eecc7224a23cfba0547f44edcb62d9348f79c903054e748d0f7e0adfcc56d,1482,ready,
