url,last_modified,decision,category,priority,coverage_questions,reason
https://www.ebram.org/,2025-07-16,Review,overview,medium,Q01,"Likely duplicates the overview and service pages; retain only unique content"
https://www.ebram.org/overview.html,2025-03-06,Include,about,high,Q01,"Core institutional overview"
https://www.ebram.org/aim_and_services.html,2025-03-06,Include,about,high,Q01,"Primary service-scope source"
https://www.ebram.org/governance_structure.html,2025-03-06,Include,about,low,,"Useful institutional background for customer enquiries"
https://www.ebram.org/careers.html,2025-03-06,Exclude,careers,low,,"Outside the Case 6A customer-support scope"
https://www.ebram.org/contact_us,2025-03-06,Include,support,high,Q05,"Canonical contact and support fallback"
https://www.ebram.org/online_arbitration.html,2025-03-06,Include,dispute_resolution,high,Q01;Q02;Q09,"Core arbitration service and application information"
https://www.ebram.org/online_mediation.html,2025-03-06,Include,dispute_resolution,high,Q01;Q02;Q09,"Core mediation service and application information"
https://www.ebram.org/Water_Seepage_POM_Scheme.html,2025-03-06,Include,dispute_resolution,medium,Q01,"Distinct dispute-resolution service"
https://www.ebram.org/apec_odr.html,2025-03-06,Include,dispute_resolution,high,Q01;Q09,"Primary cross-border/APEC ODR source"
https://www.ebram.org/odr/e_flyer/Institutional_Services_Guide/,2025-03-06,Review,guide,medium,Q01,"Retain only content not duplicated by canonical service pages"
https://www.ebram.org/odr/e_flyer/Online_Dispute_Resolution_ODR_Services_and_Platforms_Guide/,2025-03-06,Review,guide,high,Q02;Q03;Q06,"Potential unique platform/security/fee/application details"
https://www.ebram.org/odr/e_flyer/Rules_and_Procedures_Guide/,2025-03-06,Review,guide,medium,Q02;Q06,"Retain unique procedural or fee information only"
https://www.ebram.org/odr/e_flyer/eBRAM_Mediation_Rules_Guide/,2025-03-06,Review,guide,medium,Q02;Q06,"Retain unique mediation procedure information only"
https://www.ebram.org/rules.html,2025-03-06,Include,rules,medium,Q02;Q06;Q09,"Rules index and canonical links"
https://www.ebram.org/arbitration_rules,2025-03-06,Include,rules,high,Q02;Q06;Q09,"Canonical arbitration rules"
https://www.ebram.org/mediation_rules,2025-03-06,Include,rules,high,Q02;Q06;Q09,"Canonical mediation rules"
https://www.ebram.org/apec_rules,2025-03-06,Include,rules,high,Q06;Q09,"Canonical APEC ODR rules"
https://www.ebram.org/panel_application.html,2025-03-06,Include,panels_training,high,Q04,"Application requirements for professional panels"
https://www.ebram.org/panel/arbitrators/,2025-03-06,Exclude,dynamic_roster,low,,"Dynamic individual roster; high refresh cost and not needed for acceptance"
https://www.ebram.org/panel/mediators/,2025-03-06,Exclude,dynamic_roster,low,,"Dynamic individual roster; high refresh cost and not needed for acceptance"
https://www.ebram.org/panel/apec_neutrals/,2025-03-06,Exclude,dynamic_roster,low,,"Dynamic individual roster; high refresh cost and not needed for acceptance"
https://www.ebram.org/codes_and_guidelines.html,2025-03-06,Include,rules,medium,Q04,"Professional codes and qualification-related guidance"
https://www.ebram.org/model_clauses,2025-03-06,Include,model_clauses,medium,Q07;Q09,"Contract clauses and dispute-resolution entry points"
https://www.ebram.org/model_clauses/?type=apec,2025-03-06,Review,model_clauses,medium,Q09,"Keep if content differs from the canonical model-clause page"
https://www.ebram.org/model_clauses/?type=arbitration,2025-03-06,Review,model_clauses,medium,Q09,"Keep if content differs from the canonical model-clause page"
https://www.ebram.org/model_clauses/?type=mediation,2025-03-06,Review,model_clauses,medium,Q09,"Keep if content differs from the canonical model-clause page"
https://www.ebram.org/research/ODR_Regulatory_Models_in_the_Digital_Era_Implications_for_ODR_Rule_Harmonisation_across_the_Greater_Bay_Area/,2025-03-06,Exclude,research,low,,"Long research paper outside core customer support"
https://www.ebram.org/hearing_support,2025-03-06,Include,service,medium,Q01,"Distinct hearing support service"
https://www.ebram.org/lawtech/e_signature/,2025-03-06,Include,lawtech,medium,Q01;Q07,"LawTech and contract-process support"
https://www.ebram.org/lawtech/vc,2025-03-06,Include,lawtech,medium,Q01;Q09,"Remote hearing/video-conference capability"
https://www.ebram.org/machine_document_translation_service.html,2025-03-06,Include,lawtech,high,Q01;Q08,"Primary multilingual and translation source"
https://www.ebram.org/event-real-time-captions-transcription-service/,2025-06-25,Include,lawtech,medium,Q01;Q08,"Language-accessibility and transcription service"
https://www.ebram.org/mediator/training/,2025-03-06,Include,training,high,Q04,"Primary mediator training source"
https://www.ebram.org/news_release.html?key=press_release,2025-07-16,Exclude,news,low,,"Dynamic news content outside core customer support"
https://www.ebram.org/news_release.html?key=media_report,2025-07-16,Exclude,news,low,,"Dynamic media content outside core customer support"
https://www.ebram.org/event_highlights.html,2025-07-16,Exclude,events,low,,"Event history outside core customer support"
https://www.ebram.org/supporting_events,2025-07-16,Exclude,events,low,,"Dynamic event content outside core customer support"
https://www.ebram.org/videos,2025-07-16,Exclude,videos,low,,"Video index is not suitable primary textual knowledge"
https://www.ebram.org/terms_of_use.html,2025-03-06,Include,policy,high,Q03,"Canonical terms and platform-use policy candidate"
